grid,theta,words,minD,gmD,S0,kappa,minlocal,nneg,minglyph,glyph_le2,meanglyph,outcome,freq_floor
chambers,18,552210,2099,4103.139162802231,282.0561446304707,0.732957287375305,-0.532812546257091,16,34,0,38.02439024390244,FILL,63
chambers,22,410235,1834,3636.075661796022,273.10557328668597,0.7376201609613493,-0.9673416170975404,16,33,0,37.292682926829265,FILL,158
chambers,26,284006,1531,3042.3863857606943,257.2943580320425,0.7473163393011274,-1.4776631959036965,16,32,0,36.34146341463415,FILL,398
chambers,30,185075,1259,2464.1723363982537,235.50063336194137,0.7624771193668649,-2.122947560165784,16,30,0,35.78048780487805,FILL,1000
chambers,34,112902,1013,1906.5942694334233,204.47828231864662,0.7867611912804434,-2.7617084578790863,16,29,0,34.951219512195124,FILL,2512
chambers,38,64238,746,1384.031655170615,164.45196015360307,0.8209072403797477,-3.5112260683928493,16,28,0,33.46341463414634,FILL,6310
chambers,42,33765,507,905.923328598033,111.96277033254705,0.8704802547888281,-4.395299978355874,16,27,0,32.1219512195122,FILL,15849
chambers,46,16496,311,550.9926823570163,52.71562845245387,0.9342138686856869,-5.407776996644012,16,25,0,30.121951219512194,FILL,39811
chambers,50,7223,174,283.1468257502656,-18.149445264766427,1.025320245836827,-6.7507338612236225,16,22,0,27.390243902439025,PROVEN_UNFILLABLE,100000
connected,18,552210,8463,35304.5115790417,-68.5572519327302,1.0840359611062824,-9.115857117108256,31,29,0,37.76288659793814,NOT_FOUND_300s,63
connected,22,410235,7469,27465.836617401463,-87.35894073075201,1.1097131023671194,-9.636540690521274,32,28,0,37.44845360824742,NOT_FOUND_300s,158
connected,26,284006,6311,20005.344194529276,-110.74077124280234,1.14352890408408,-10.248309084082212,32,27,0,36.90721649484536,,398
connected,30,185075,4969,13656.395736306327,-140.01183679099518,1.188742608827666,-11.106978304302238,32,26,0,36.170103092783506,,1000
connected,34,112902,3755,8596.762853888778,-175.45262408983058,1.2486019609458114,-12.055887426664999,32,25,0,35.07216494845361,,2512
connected,38,64238,1789,4807.688611537653,-217.76537601045095,1.3297073036430889,-13.251186130680107,32,24,0,33.29896907216495,,6310
connected,42,33765,721,2386.508449715708,-267.2237048226923,1.4410235921245957,-14.450398624640345,32,20,0,31.128865979381445,,15849
connected,46,16496,153,838.1029900660911,-326.5304569074452,1.6226825707212522,-15.901053830099023,37,16,0,26.144329896907216,,39811
connected,50,7223,0,0.0,-inf,inf,-inf,-1,0,-1,0.0,,100000
edition_mid,18,552210,2104,17983.88638719059,151.06086421395844,0.8515632071743029,-11.470907459739173,13,30,0,38.38095238095238,FILL,63
edition_mid,20,483976,2059,16705.12506324869,143.92665572033263,0.8575006502195839,-11.717067415606998,14,30,0,38.26984126984127,FILL,100
edition_mid,22,410235,1983,15113.786100977768,134.6778074392796,0.865270669270605,-12.029836466775839,14,30,0,38.164021164021165,FILL,158
edition_mid,24,344011,1882,13618.056515650123,124.42850704069883,0.8741611910985557,-12.368096441450929,15,29,0,38.07936507936508,FILL,251
edition_mid,26,284006,1752,12071.472570000493,112.85009092180144,0.8844069569233435,-12.737994040133541,15,29,0,37.73015873015873,FILL,398
edition_mid,28,231015,1641,10530.943251959434,98.99290448147474,0.89710629078258,-13.119479928902228,15,29,0,37.523809523809526,FILL,631
edition_mid,30,185075,1482,9072.133624327002,84.03621652929348,0.9112231235312063,-13.515269379098234,15,28,0,37.095238095238095,FILL,1000
edition_mid,32,145861,1352,7690.150986706207,67.04522819443628,0.9278644027011104,-13.994745238508619,15,27,0,36.629629629629626,FILL,1585
edition_mid,33,128519,1264,7003.363114386275,57.42865040124002,0.9375582727652134,-14.209910786913966,15,27,0,36.25396825396825,FILL_24.6s,1995
edition_mid,34,112902,1193,6378.482118244019,47.69835389849675,0.9475846766319627,-14.478156767278133,15,27,0,36.042328042328045,FILL,2512
