aaa	schéma tirádového rýmu
aaaa	schéma tirádového rýmu
aaaaa	schéma tirádového rýmu
aaaaaa	schéma tirádového rýmu
aab	iniciály spisovatele Bloka
aabb	schéma sdruženého rýmu
aabba	schéma limeriku
aabbcc	schéma sdruženého rýmu
aachen	německy Cáchy
aba	arabský plášť
abab	schéma střídavého rýmu
abaca	manilské konopí
abak	počítadlo
abaka	manilské konopí
abakan	metropole Chakaska
abakun	biblický prorok
abakus	počítadlo
abaky	počítadla
abalone	chutný tropický měkkýš
abba	schéma obkročného rýmu
abbé	francouzské oslovení kněz
abc	první tři písmena
abca	schéma přerývaného rýmu
abcabc	schéma postupného rýmu
abcd	první čtyři písmena
abcde	prvních pět písmen
abdéra	působiště Protágora
abdéry	Protágorás z ???
abe	autor Písečné ženy
abeceda	soubor písmen
abecedy	soubory písmen
abeho	prozaikovo (Písečná žena)
abel	Kainova oběť
abeles	způsob rozdání taroků
abelova	vlastněna Kainovou obětí
abelovi	vlastněni Kainovou obětí
abelovo	vlastněno Kainovou obětí
abelovy	vlastněny Kainovou obětí
abelové	jmenovci Kainovy oběti
abelův	vlastněn Kainovou obětí
ablace	odnětí chirurg.
ablativ	latinský 6. pád
ablativy	slova v 6. pádě (latina)
abo	označení nejtěžších horských túr
aboci	druh vodušky množ.
abok	druh antilopy vodušky
abolice	druh amnestie
abort	potrat
aborty	potraty
abp	iniciály pěvkyně Pugačevy
abraze	zbroušení
abri	skalní převis
abs	typ řízení brzd
absces	dutina s hnisem
abscesy	dutiny s hnisem
absint	pelyňkový alkohol
absinty	pelyňkové alkoholy
abstrakt	shrnutí obsahu díla
abstrakty	shrnutí obsahu děl
abu	otec v arabských příjmeních
abuja	nigérijská metropole
abulici	muži bez vůle psycholog.
abulie	chorobná nerozhodnost
abulik	muž bez vůle psycholog.
abv	začátek azbuky
abvg	začátek azbuky
abwehr	německá rozvědka
aby	arabské pláště
abych	abysem (spis.)
abychme	abychom (nářeč.)
abychom	abysme (spis.)
abyjsem	abych (nářeč.)
abyjsi	abys (nářeč.)
abyjsme	abychom (nářeč.)
abyjzme	abychom nářeč.
abys	abyjsi (spis.)
abysem	abych (nářeč.)
abysi	abys (nářeč.)
abysme	abychom (nářeč.)
abysál	hlubokomořská planina
abysální	žijící na mořském dně
abysály	hlubokomořská planiny
abyzme	abychom nářeč.
abzac	příruční číšnický stolek
abzacy	příruční číšnické stolky
abája	arabský plášť
abáji	arabské pláště
abú	??? Dhabí, arabské velkoměsto
acap	bez doprovodu (hudební zkratka)
acerola	karibské ovoce
aceroly	karibské ovoce množ.
aceton	propanon
ach	zvuk při povzdechu
achar	indická nakládaná příloha
acharda	indická nakládaná příloha
achardy	indická nakládaná příloha
achary	indická nakládaná příloha množ.
acherón	převozník přes Styx
achjo	citoslovce povzdechnutí
achtuba	rameno Volhy
achájci	řekové u Homéra
achájové	řekové u Homéra
achájská	řecká u Homéra
achájské	řecké u Homéra
achájský	řecký u Homéra
achájští	řekové u Homéra
achát	varienta chalcedonu
acháty	varienta chalcedonu množ.
acid	kyselý zkr. (farmacie)
acta	ad ???, odložit případ
acéna	rostlina plazilka
acény	rostliny plazilky
adagio	zvolna (hudba)
adalbert	Vojtěch
adam	Evin muž
adamec	čs. premiér (1988)
adamita	naháč
adamiti	naháči
adamité	naháči
adamníci	adamité zastr.
adamník	adamita zastr.
adamova	vlastněna Eviným manželem
adamovi	vlastněni Eviným manželem
adamovo	patřící Adamovi
adamovy	vlastněny Eviným manželem
adamové	jmenovci Evina manžela
adamův	patřící Adamovi
add	přidaný zkr. (farmacie)
addis	město ??? Adeba
adeba	město Addis ???
adek	vitaminy rozpustné v tucích
adenia	rostliny tzv. pouštní růže
adenin	purinová báze
adenium	rostlina tzv. pouštní růže
adept	zájemce
adepti	zájemci
adeptka	uchazečka
adeptky	uchazečky množ.
adeptova	zájemcova
adeptovi	zájemcovi
adeptovo	zájemcovo
adeptovy	zájemcovy
adeptové	zájemci
adeptčin	uchazeččin
adeptův	zájemcův
adhd	druh poruchy pozornosti
adhese	přilnavost
adheze	přilnavost
adice	sčítání
adina	??? Mandlová
adinin	vlastněn jmenovkyní A. Mandlové
adinina	vlastněna jmenovkyní A. Mandlové
adinini	vlastněni jmenovkyní A. Mandlové
adinino	vlastněno jmenovkyní A. Mandlové
adininy	vlastněny jmenovkyní A. Mandlové
adiny	jmenovkyně herečky Mandlové
aditiva	přídatné látky
aditivum	přídatná látka
adiční	přídavný
adjutum	mzda pomocníka zastr.
adjuty	mzdy pomocníků zastr.
adlati	náměstci zastr.
adlatus	náměstek zastr.
adlaté	náměstci zastr.
adléta	choť Vladislava II
adlétin	patřící Adlétě
adm	přimíchaný zkr. (farmacie)
admirál	druh babočky
adolf	jméno německého vůdce
adolfe	oslovení Hitlera
adolfova	ovládaná Adolfem
adolfovi	ovládaní Adolfem
adolfovo	ovládané Adolfem
adolfovy	ovládány Adolfem
adolfové	jmenovci německého vůdce
adolfův	patřící Adolfovi
adomova	vlastněná Adamem
adomovi	vlastnění Adamem
adomovy	vlastněny Adamem
adonaj	jméno boží u Židů
adonis	antický krasavec
adoval	přidával odbor.
adovala	přidávala odbor.
adovali	přidávali odbor.
adovalo	přidávalo odbor.
adovaly	přidávaly odbor.
adovat	přidávat odbor.
adovati	přidávati odbor.
adresa	údaj o bydlišti
adresy	údaje o bydlištích
adriana	přechýlené jméno Hadrián
adriany	ženy jménem Adriana
adue	ve dvou (hudba)
aduje	přidává odbor.
adují	přidávají odbor.
adut	karetní trumf slang. zastr.
aduty	karetní trumfy slang. zastr.
advent	doba před Vánoci
adventní	předvánoční
adventy	doba před Vánoci množ.
adéla	jiná verze jména Adléta
adélin	patřící Adéle
adélina	vlastněné Adélou
adélini	ovládaní Adélou
adélino	patřící Adéle
adéliny	ovládany Adélou
adélo	oslovení Adély
adély	ženy jménem Adéla
adénia	rostliny tzv. pouštní růže
adénium	rostlina tzv. pouštní růže
adí	hlavní učitel jezídů
adónis	antický krasavec
adžika	gruzínské koření
adžiky	druzínské koření množ.
adžvan	koptský kmín
aedil	římský nižší úředník
aedile	oslovení úředníka antice
aedili	římští nižší úředníci
aedilové	římští nižší úředníci
aei	naše nezaokrouhlené samohlásky
aeiou	české samohlásky
aeneas	Vergiliův epos
aeneida	Vergiliův epos
aeon	dějinná epocha (z řečtiny)
aeony	dějinné epochy (z řečtiny)
aero	naše automobilka
aerobik	cvičení (O. Šípková)
aerogel	zmrzlý dým
aerogely	zmrzlé dýmy
aerovka	veterán zn. Aero hovor.
aerovky	veterány zn. Aero hovor.
aes	šifrovací algoritmus
afasie	neschopnost mluvit
afgánistán	soused Pakistánu
afiner	dohližitel na zrání sýra
afineři	dohližitelé na zrání sýra
afinér	dohližitel na zrání sýra
afinéři	dohližitelé na zrání sýra
africká	typická pro Černý světadíl
africké	typické pro Černý světadíl
africký	typický pro Černý světadíl
afrika	jeden světadíl
afrikán	aksamitník
afrikány	aksamitníky
afrikáta	polouzávěrová hláska
afrikáty	polouzávěrové hlásky
